Age	Lx (CIMA F)
0	1000000
1	997151,4966
2	996765,6321
3	996470,3604
4	996218,8441
5	996003,906
6	995807,9132
7	995631,3848
8	995464,8167
9	995298,2594
10	995141,828
11	994975,292
12	994808,7668
13	994612,8641
14	994379,5891
15	994093,1546
16	993715,6451
17	993237,8452
18	992644,1213
19	991940,5015
20	991157,5443
21	990328,5698
22	989470,4725
23	988593,5765
24	987701,3501
25	986790,4266
26	985860,8583
27	984905,8717
28	983925,5507
29	982919,98
30	981887,3127
31	980831,4345
32	979753,669
33	978639,5807
34	977475,0937
35	976239,5096
36	974933,877
37	973545,4161
38	972068,6251
39	970491,5454
40	968796,1978
41	966965,442
42	964970,436
43	962808,3569
44	960464,3022
45	957929,855
46	955196,7954
47	952268,3988
48	949153,1041
49	945858,7621
50	942387,2896
51	938740,3592
52	934903,4714
53	930867,662
54	926624,0395
55	922158,62
56	917467,7335
57	912551,0665
58	907329,4474
59	901760,3828
60	895756,9149
61	889311,5924
62	882341,0159
63	874835,2593
64	866785,1785
65	858105,1904
66	848789,6664
67	838824,994
68	828263,9255
69	817076,1505
70	805234,9104
71	792705,8615
72	779457,1759
73	765474,658
74	750740,1555
75	735230,9587
76	718908,4638
77	701727,3171
78	683655,1183
79	664639,3132
80	644582,2494
81	623367,6145
82	600904,5291
83	577171,3438
84	552228,2633
85	526202,0961
86	499208,8304
87	471364,6651
88	442823,4204
89	413768,8204
90	384431,3088
91	355057,2463
92	324274,8204
93	290521,5964
94	254286,8123
95	216373,5056
96	177917,6104
97	140351,4623
98	105287,9146
99	74314,63704
100	48718,4784
101	29203,59882
102	15705,81492
103	7405,883675
104	2977,685159
105	986,9443547
106	0
107	0
108	0
109	0
110	0
