Age	Lx (CIMA H)
0	1000000
1	994632,2541
2	993906,1719
3	993350,7267
4	992877,7063
5	992473,5615
6	992105,1065
7	991773,2986
8	991460,2603
9	991147,2888
10	990853,3866
11	990540,545
12	990227,7702
13	989859,8766
14	989421,8839
15	988884,2048
16	988175,7743
17	987279,4819
18	986166,2636
19	984847,7571
20	983381,5559
21	981830,0969
22	980227,239
23	978595,6263
24	976942,8695
25	975261,6486
26	973552,1178
27	971799,5682
28	970004,2604
29	968166,4584
30	966280,6397
31	964354,433
32	962390,2371
33	960361,9681
34	958244,3075
35	956000,0693
36	953631,587
37	951116,2381
38	948444,6729
39	945596,0089
40	942538,7157
41	939243,0365
42	935658,5568
43	931781,8548
44	927588,1433
45	923064,5485
46	918198,8512
47	912999,4902
48	907484,1231
49	901669,3693
50	895561,4369
51	889166,2126
52	882461,5539
53	875435,4365
54	868076,3793
55	860364,5921
56	852298,5652
57	843873,6979
58	834933,0955
59	825401,6009
60	815119,6736
61	804094,4284
62	792180,6082
63	779389,7641
64	765737,012
65	751089,9743
66	735479,1389
67	718901,4387
68	701530,475
69	683352,1855
70	664362,8253
71	644551,451
72	623916,8049
73	602490,4314
74	580302,5196
75	557381,8152
76	533740,3507
77	509389,1636
78	484367,0356
79	458694,9046
80	432347,9513
81	405298,7703
82	377576,957
83	349317,4766
84	320760,9218
85	292217,6476
86	263970,4139
87	236285,4819
88	209444,7077
89	183726,6064
90	159409,3279
91	136732,6058
92	114772,7999
93	92829,6776
94	71779,17384
95	52557,1892
96	36022,02682
97	22788,85971
98	13083,4352
99	6677,729296
100	2955,371765
101	1100,38305
102	332,2868846
103	77,84594608
104	13,40726014
105	1,590369823
106	0
107	0
108	0
109	0
110	0
