Id salarie	Date de naissance	Date dembauche	Salaire	
2	25/07/1989	18/01/2017	7134701	
3	04/11/1969	22/11/1991	8506999	
4	23/09/1978	07/01/2005	9541973	
5	27/09/1985	03/05/2013	3622700	
6	31/05/1983	30/05/2001	8642413	
7	16/08/1967	26/05/1992	6102978	
8	25/04/1987	24/04/2005	4737181	
9	24/10/1972	24/10/1990	4113313	
10	11/11/1977	12/11/1995	9342652	
11	28/11/1989	29/11/2007	5133519	
12	09/03/1987	03/12/2013	7113260	
13	02/05/1980	23/09/2003	5040746	
14	23/12/1982	02/05/2015	7600288	
15	02/02/1976	28/03/2015	3622182	
16	02/08/1969	09/12/2015	7409099	
17	19/02/1983	24/07/2012	9329928	
18	29/04/1964	23/06/2002	8817297	
19	19/07/1986	19/07/2004	7590574	
20	15/10/1979	19/02/2001	8416327	
21	07/05/1982	26/12/2000	6481955	
22	17/09/1987	10/05/2007	8839016	
23	08/09/1967	05/01/2001	5089598	
24	31/08/1981	01/09/1999	6135552	
25	08/10/1989	04/05/2014	7355350	
26	08/08/1965	06/07/1997	8860393	
27	07/09/1982	06/09/2000	7730704	
28	11/01/1972	30/09/2000	8432620	
29	10/01/1965	08/12/1991	8447303	
30	10/05/1977	14/06/2011	7832231	
31	07/01/1963	10/09/1999	3717139	
32	11/09/1966	26/12/2001	7194860	
33	16/06/1975	10/10/2011	5674931	
34	23/02/1975	18/04/2000	8367447	
35	23/09/1979	22/09/1997	8375198	
36	28/04/1966	14/04/2006	5987335	
37	26/09/1984	26/09/2002	3656518	
38	10/09/1982	09/09/2000	6147315	
39	05/06/1981	18/06/2001	8185470	
40	25/12/1982	25/12/2000	7209094	
41	18/04/1972	25/09/2006	8492772	
42	11/09/1976	13/04/2002	4827718	
43	27/01/1971	17/08/2000	8314095	
44	01/07/1965	30/07/2012	6749417	
45	11/06/1978	04/09/2004	4048074	
46	19/01/1964	11/12/1995	8445400	
47	27/06/1973	26/07/2006	3644006	
48	06/07/1974	06/07/1992	8144073	
49	03/04/1967	26/08/2000	7731726	
50	17/10/1984	12/09/2006	9324213	
51	09/08/1982	09/08/2000	5306184	
52	26/04/1986	25/04/2004	8231562	
