ID	DDN	DE	SBA
15035	14/07/1995	07/08/2017	3825036
14962	01/01/1991	07/08/2017	4115796
14498	12/06/1977	10/11/2011	7033416
14998	02/12/1984	15/05/2017	7413600
15002	15/01/1990	07/06/2017	4243068
14937	09/10/1985	13/10/2015	4724784
14857	01/07/1983	01/07/2014	4961316
14850	06/03/1983	01/04/2014	4291944
14954	11/12/1989	08/02/2017	3236208
14986	15/10/1986	11/03/2017	3818760
14949	14/11/1986	07/09/2017	3825036
14516	15/08/1980	26/10/2010	5083584
14956	24/01/1993	02/02/2017	4243068
15023	24/01/1993	19/07/2017	4243068
15050	06/09/1989	06/11/2017	3661728
14730	19/02/1980	01/11/2012	4410012
14480	12/06/1980	01/04/2010	8981616
14973	12/04/1983	26/10/2016	7243068
14972	01/04/1988	29/09/2016	4471344
14963	13/03/1985	08/05/2017	4115796
14384	05/04/1983	22/03/2010	8955660
15041	01/10/1987	10/10/2017	8220756
14888	30/09/1986	02/02/2015	5062524
14884	24/08/1983	07/01/2015	4917348
14894	10/10/1986	05/10/2015	5189304
14890	24/01/1993	09/02/2015	4917348
14955	24/01/1993	02/02/2017	4243068
14892	16/11/1983	11/05/2017	4697472
14821	10/02/1980	28/08/2013	4527480
14729	14/01/1980	05/11/2012	4121436
14845	29/01/1984	01/04/2014	4486848
14733	04/12/1977	05/11/2012	4038852
14272	03/04/1984	07/05/2008	28911672
14895	11/11/1986	04/03/2015	5062524
14939	01/06/1984	02/11/2015	5226048
14882	16/12/1981	01/10/2012	10116048
14984	27/12/1987	02/02/2017	4115796
14896	24/01/1993	04/03/2015	4566216
14968	28/10/1990	07/09/2017	3747228
14964	03/06/1985	07/08/2017	4471344
13854	02/03/1966	13/05/2002	7472628
14732	05/07/1982	01/11/2012	4568112
14958	07/03/1986	12/05/2016	9857472
14938	17/08/1989	28/10/2015	3929484
14933	16/04/1991	10/10/2017	4591344
14587	19/01/1979	02/01/2012	8927760
14991	16/11/1988	13/04/2017	4115796
14734	06/09/1982	05/11/2012	3783528
14202	26/12/1974	15/12/2006	14143536
14951	27/01/1989	01/02/2017	4243068
14940	29/12/1985	02/11/2015	4566216
14959	22/02/1987	17/05/2016	3825036
14582	04/05/1986	02/11/2012	7425072
14960	14/12/1988	26/05/2016	4115796
14943	19/09/1988	13/11/2015	4312584
14893	13/12/1977	14/11/2005	9976824
14702	01/01/1981	30/07/2012	3486900
13849	21/12/1971	13/05/2002	7343784
14581	02/07/1984	05/07/2012	7754952
14982	11/04/1987	03/01/2017	3747228
14189	04/02/1980	09/10/2006	7483776
13994	12/02/1982	21/11/2011	9664488
14196	08/01/1977	21/11/2006	14243604
14230	29/11/1978	15/02/2007	5989068
14844	07/03/1981	01/04/2014	4961316
14883	15/03/1988	07/01/2015	5501172
14907	13/06/1980	06/09/2017	4115796
14731	05/02/1979	23/07/2014	3905940
14846	01/09/1991	01/04/2014	4351944
14992	18/10/1983	08/05/2017	7243068
14950	31/07/1991	08/02/2017	11892096
14432	15/03/1977	25/11/2009	4243068
14841	22/05/1973	13/05/2002	6714420
15043	09/12/1988	02/11/2017	4101636
14841	19/02/1988	01/04/2014	4337292
13396	20/04/1965	04/12/2000	8900544
14525	15/07/1984	01/02/2012	4967964
14957	19/04/1988	02/02/2017	4471344
14822	02/02/1983	01/08/2013	4391304
13062	15/08/1970	01/08/1994	15064296
14974	30/04/1987	14/11/2016	7922916
14984	03/05/1983	01/02/2017	3687108
15007	13/04/1988	03/07/2017	4835736
14434	01/10/1977	25/11/2009	12433620
14900	15/07/1985	03/04/2015	4312584
14897	04/01/1983	10/03/2015	4917348
14532	21/04/1983	12/03/2012	8690196
14580	18/05/1985	30/11/2011	11797824
14477	11/01/1976	22/03/2010	9126624
14590	26/10/1979	09/01/2012	8152044
15042	21/01/1982	02/11/2017	4846476
15006	18/02/1988	03/07/2017	3825036
14823	18/09/1980	05/09/2013	4527480
14405	20/02/1977	31/10/2011	4560900
14966	10/11/1990	07/08/2017	4115796
14885	20/06/1984	07/01/2015	5062524
